Funcion,Algoritmo,Valor_Minimo,Vector_Coordenadas
Funcion_1,Búsqueda Aleatoria,134.92692861,[-3.75156135; 1.7488575 ; 5.29715478; 2.97513172; 6.01418513; 6.17316405;  2.51388677; 6.5495177 ; 5.64072561; 7.70172427]
Funcion_1,Escalada de Colinas (paso=0.5),339.23046725,[ 6.94261981;-2.64881347; 1.54406431;-0.20245378;-2.78078178; 6.34285278; -1.49797355; 6.82551538;10.        ; 5.00219747]
Funcion_1,"Recocido Simulado (T0=100.0, alfa=0.99)",256.66569105,[ 3.3188878 ;-3.47429063; 1.79177638;-1.09223055; 8.0790985 ;-1.58380127; -4.41178977; 6.730861  ; 6.99086376; 1.98288964]
Funcion_1,"Escalada Colinas Reinicios (paso=0.5, paciencia=100)",202.51440352,[ 6.27300433; 1.69236185; 6.78619878;-0.24292843; 4.01913334;-2.73914351;  0.45920603; 1.72118069; 7.02852512; 3.92736965]
Funcion_1,"Búsqueda Local Reiterada (paso=0.5, salto=3.0)",39.01757095,[ 1.0333317 ; 0.35427728; 5.50832778; 7.78080619;10.        ; 1.29732945;  1.71935976; 5.57897537; 9.94887563; 7.98971557]
Funcion_1,Escalada Colinas Dinámica (Paso: 5.0 -> 0.01),13.96230807,[1.19445957;1.39979622;3.60075771;7.79622032;8.10625288;2.29212861; 4.49861811;3.71489142;5.90474367;8.99753358]
Funcion_2,Búsqueda Aleatoria,15642.33344397,[-7.20511722;-3.82247859;-5.48951431;-3.60040297;-5.81477874; 2.931242  ;  1.30180307; 2.98865928; 4.56426715;-1.32531494]
Funcion_2,Escalada de Colinas (paso=0.5),15.31606292,[-6.21568272;-5.03642634;-4.27859274;-3.0747981 ;-2.56767286; 0.76944775;  1.54872603; 2.90031478; 3.61779727; 4.33874467]
Funcion_2,"Recocido Simulado (T0=100.0, alfa=0.99)",14.98805853,[-6.5047932 ;-5.07000791;-4.126448  ;-3.20503323;-2.57408728; 0.71683973;  1.50150716; 2.8969323 ; 3.87535905; 4.21936769]
Funcion_2,"Escalada Colinas Reinicios (paso=0.5, paciencia=100)",16.40194484,[-5.90051567;-4.82986629;-4.38642439;-3.1305336 ;-2.52391543; 0.75223428;  1.45707887; 2.90144977; 3.70944365; 4.23745246]
Funcion_2,"Búsqueda Local Reiterada (paso=0.5, salto=3.0)",17.13642417,[-6.81591342;-5.13336083;-4.39037828;-3.03465398;-2.45443567; 0.66490046;  1.48410116; 2.76295032; 3.87978674; 4.15460919]
Funcion_2,Escalada Colinas Dinámica (Paso: 10.0 -> 0.001),5.32839339,[-5.51843314;-4.42607115;-3.70065698;-2.73975474;-2.468082  ; 0.72069999;  1.51646045; 2.91646874; 3.80663863; 4.20268322]
Funcion_3,Búsqueda Aleatoria,8.57311582,[ 3.76113587; 3.18471386; 1.34466942; 2.96589737; 2.53137561;-0.62785935;  0.2601054 ;-0.42258143; 2.27580516;-5.38229163]
Funcion_3,Escalada de Colinas (paso=0.5),0.79876453,[ 2.46540069; 3.258685  ; 2.70490201; 4.64841541; 5.5539547 ;-2.15208979; -3.11402496;-2.00760998;-0.34740028;-5.62372713]
Funcion_3,"Recocido Simulado (T0=100.0, alfa=0.99)",13.09076574,[ 3.57772861; 6.33174726;-0.39394753; 2.71344943;-5.13871185;-5.86931889;  0.85542445; 1.02001395; 7.5777815 ;-5.68533787]
Funcion_3,"Escalada Colinas Reinicios (paso=0.5, paciencia=100)",9.59932689,[ 3.45363748; 3.46333095;-1.08492912; 5.4669784 ;-1.14769646; 0.89551445; -5.15204613; 0.18774063;-1.18116098;-6.47810141]
Funcion_3,"Búsqueda Local Reiterada (paso=0.5, salto=3.0)",0.95491852,[ 2.60569486; 3.36518103; 2.73187238; 4.93398605; 5.67900227;-2.14274988; -3.16155228;-1.6436345 ;-0.53941053;-5.64826296]
Funcion_3,Escalada Colinas Dinámica (Paso: 2.0 -> 0.01),0.01956786,[ 2.49024214; 3.39558557; 2.70559514; 4.79943572; 5.70315596;-2.09370279; -3.19919638;-1.89750674;-0.40282382;-5.59870742]
Funcion_4,Búsqueda Aleatoria,58.71889294,[ 4.51879879;-1.67169988; 5.68047358; 1.0034059 ; 4.41121489;-6.3532898 ; -2.49393404;-0.92769933; 9.70231531;-6.53674116]
Funcion_4,Escalada de Colinas (paso=0.5),0.05796856,[ 2.38321039;-3.63201085; 7.75552745;-2.28187426; 5.30298146;-6.25916756; -4.91073649;-6.11338448; 8.50355644;-7.8069059 ]
Funcion_4,"Recocido Simulado (T0=100.0, alfa=0.99)",0.11429710,[ 2.50576243;-3.46848657; 7.91461558;-2.27272664; 5.28663653;-6.45849089; -4.72708098;-6.23804106; 8.41130374;-7.85254277]
Funcion_4,"Escalada Colinas Reinicios (paso=0.5, paciencia=100)",0.13662478,[ 2.54737086;-3.53453969; 7.84913838;-2.26335217; 5.03259599;-6.4534845 ; -5.02034588;-6.13296147; 8.60102789;-7.61547885]
Funcion_4,"Búsqueda Local Reiterada (paso=0.5, salto=3.0)",0.12356422,[ 2.4821028 ;-3.50779686; 7.89317934;-2.13246407; 5.41577543;-6.20363884; -4.83663913;-6.05051181; 8.54992824;-7.90639986]
Funcion_4,Escalada Colinas Dinámica (Paso: 2.0 -> 0.01),0.00029590,[ 2.40139595;-3.49970659; 7.79387382;-2.19900477; 5.29190148;-6.40099014; -4.90380989;-6.09367471; 8.50429925;-7.71075949]
Funcion_5,Búsqueda Aleatoria,0.57547343,[-6.74349964; 7.13614141; 9.71300777;-2.8221221 ; 7.54707501; 3.55519858;  9.25210473; 0.88355178;-3.25734276;-3.79602908]
Funcion_5,Escalada de Colinas (paso=0.5),0.09912962,[-7.47140224;-6.56488401;10.        ; 3.07964033; 8.39202087;-3.80959155;  8.21451618; 9.15979099; 6.98699659; 5.64095459]
Funcion_5,"Recocido Simulado (T0=100.0, alfa=0.99)",0.15475536,[-1.20592291;-2.02009552;-6.11683496; 9.36858532; 1.52809395; 3.64052911; -0.0774015 ; 9.03084158;-2.49605328;-4.4242734 ]
Funcion_5,"Escalada Colinas Reinicios (paso=0.5, paciencia=100)",0.04696542,[ 1.93278008;-6.48332222; 4.59435869;-3.2190886 ; 8.59388473;-3.90604788;  8.01232871; 9.11968488;-2.8772882 ; 5.00361794]
Funcion_5,"Búsqueda Local Reiterada (paso=0.5, salto=3.0)",0.08582709,[ 5.05904066;-6.57386436; 4.76758793;-3.34695966; 1.77712694;-3.80299065;  8.05894961; 0.23943313;-2.26097781;-4.44511197]
Funcion_5,Escalada Colinas Dinámica (Paso: 2.0 -> 0.001),0.06888916,[ 1.95917257;-2.09931455;-0.63527066;-9.47193387; 1.49466543;-3.89760286;  0.11806943; 0.25205362;-2.5007231 ; 5.49564076]
Funcion_6,Búsqueda Aleatoria,10.30953404,[-2.0620154 ; 4.50946371;-0.51239221; 6.28119055;-5.34162044;-1.28838546; -0.02487352;-5.10044787; 1.54152125; 8.59396868]
Funcion_6,Escalada de Colinas (paso=0.5),25.90909332,[  0.28939865;-10.        ; -2.36399202; -4.76570605; -4.93478621;   2.80709235;  3.62796147; -4.90598319;  5.31834587;  7.76498785]
Funcion_6,"Recocido Simulado (T0=100.0, alfa=0.99)",29.67452124,[  4.31248563;-10.        ;  0.81871047; -8.7751472 ;  0.04864705;  -3.65720117;  0.36248204; -4.4716615 ; -2.46665074;  3.72569175]
Funcion_6,"Escalada Colinas Reinicios (paso=0.5, paciencia=100)",8.43842097,[-7.43939497; 1.99343437; 4.88209134;-0.77449908;-0.83689694;-3.45214778;  0.92435179;-1.33567597; 1.68520972; 1.84743648]
Funcion_6,"Búsqueda Local Reiterada (paso=0.5, salto=3.0)",0.12110094,[-2.46367901; 3.35488989;-1.80010047; 4.26448132; 0.13025322;-3.81046244;  1.29862958;-4.19094008; 2.83324182; 3.52063536]
Funcion_6,Escalada Colinas Dinámica (Paso: 5.0 -> 0.01),0.45458757,[-2.40257272; 3.09213772;-1.80492071; 4.50131848; 0.30672058;-3.90226053;  3.75930398;-4.20718161; 2.69161011; 3.83122546]
Funcion_7,Búsqueda Aleatoria,60.78243304,[ 3.17536494;-1.35491048;-0.08247881;-5.27863429; 0.77252484;-0.12299142;  0.09998522; 4.1713302 ;-6.20487989; 6.05682466]
Funcion_7,Escalada de Colinas (paso=0.5),0.17358406,[ 4.02426282;-2.14139574; 1.95021915;-3.91527709; 2.95430141; 0.34186886; -4.89663784; 3.4128981 ;-6.76259543; 7.808359  ]
Funcion_7,"Recocido Simulado (T0=100.0, alfa=0.99)",0.18633855,[ 4.12691199;-2.22040164; 1.97050572;-3.77036519; 3.02811989; 0.38734657; -4.3016147 ; 3.25434123;-7.07244885; 7.67295785]
Funcion_7,"Escalada Colinas Reinicios (paso=0.5, paciencia=100)",0.22916017,[ 4.04054283;-2.47999521; 1.82293746;-3.79758093; 3.03046598; 0.42110188; -4.69244899; 3.26062878;-6.90176619; 7.80842779]
Funcion_7,"Búsqueda Local Reiterada (paso=0.5, salto=3.0)",0.28514089,[ 3.84291848;-2.35011674; 1.75258717;-3.68365998; 3.03644012; 0.55556532; -4.41257003; 3.12435556;-6.82244969; 7.57635338]
Funcion_7,Escalada Colinas Dinámica (Paso: 2.0 -> 0.001),0.00010911,[ 4.09853284;-2.19691827; 1.79646377;-3.80408321; 2.89864259; 0.40170542; -4.60392963; 3.30288815;-6.9029504 ; 7.80531204]
Funcion_8_modificada,Búsqueda Aleatoria,3.88187592,[ 2.64776531;-0.65466524; 0.5247706 ; 1.37560161;-2.78603674;-0.30062289;  0.40168908;-1.90256379; 1.30544695; 0.70469635]
